,LPM,Probit,Logit
sblack,0.004576300060421872,0.9519343257680032,2.032280140449529
shisp,0.006286803490519504,0.35735314222388315,0.8822892520664813
sother,0.005964376628603934,2.2125625552937827,4.7605838357254555
smale,0.002246262614946106,0.22089542809794338,0.5889397350617201
sage,0.0006338239704677315,0.08896277407652939,0.22721389179205226
sempl,0.0031962357855673013,0.3144156636074382,0.755680019203366
sincome,0.0013814427060899075,0.12981883667076444,0.322685858402116
spop,0.002104166878471145,0.0988184038872312,0.24334911303155524
daytime,0.002778539202870161,0.2334276448065067,0.589133459495485
inctype_lin,0.008114909460274336,0.2108132089965106,0.5784967512982606
omajwhite,0.012582173045397514,0.2705210798827773,0.7485937572049357
sbehavior,0.012288580587744244,0.25922469279767507,0.6612344370496288
omajblackhisp,0.012888605488601997,2.1986425985864617,4.763166793221199
