,LPM: Coefs,LPM: SE,Probit: Coefs,Probit: SE,Logit: Coefs,Logit: SE,LMP: PEA,LMP: PEA SE,Probit: PEA,Probit: PEA SE,Logit PEA,Logit: PEA SE
sblack,0.006623209840033119,0.007078414167529291,-0.18743868075562994,0.8216671206033073,-0.2409955764914354,1.6659000219983473,0.006623209840033119,0.007078414167529291,0.00011551323304734086,0.0009752171290675554,0.00019948146268090612,0.001092712038132025
shisp,0.013803501405256645,0.008841095480048893,0.1690047946438363,0.4727939836909474,0.606849179060395,1.0637944544449653,0.013803501405256645,0.008841095480048893,0.0006957874339922961,0.0015349528919663714,0.000950651864103372,0.0015952248302887437
swhite,0.004440599281387139,0.005963409672252031,-0.21899331234410616,0.41720959755197784,-0.24684942551327427,1.0189499936106428,0.004440599281387139,0.005963409672252031,-0.0008558122150187085,0.0013095104732104264,-0.0005557556393746034,0.001157338262577982
smale,0.00486811002921885,0.0022578078700620967,0.5115124260876565,0.22308554102157122,1.0911848681656149,0.5959295411979991,0.00486811002921885,0.0022578078700620967,0.0008592762112244262,0.0006921933363841345,0.0009078006958114068,0.0006740608779027111
sage,-0.001297727038957969,0.0006436633738680593,-0.18240566404795464,0.09196653603792462,-0.4595327032299754,0.2380435285697362,-0.001297727038957969,0.0006436633738680593,-2.4789496723724113e-05,1.765410880806616e-05,-3.259230987413086e-05,1.882169300441202e-05
sempl,-0.005231846530815232,0.0031841993537603994,-0.43096859314907937,0.29536356646584816,-0.9730864637965693,0.7502335939088141,-0.005231846530815232,0.0031841993537603994,-0.001070180868554888,0.001004981976737531,-0.0010809645817601457,0.0009704892183405205
sincome,0.0016516804574464783,0.0014018093484959146,0.02224826042856001,0.14028983297313938,0.02851095721551695,0.3532455657013503,0.0016516804574464783,0.0014018093484959146,7.605653280992673e-05,0.0002516521655101677,6.599332692144402e-05,0.0002904966173818017
spop,0.00503017597801858,0.002085167666038206,0.17934744148178447,0.08898041909741165,0.46548210121535144,0.22334303932644237,0.00503017597801858,0.002085167666038206,0.0003007912949455948,0.00025445218790586465,0.00038727551856452695,0.00026118932424137555
daytime,-0.0016900983955140522,0.0027695568644559828,-0.1450406107772603,0.23206788734330042,-0.4160885412563139,0.5917400468058226,-0.0016900983955140522,0.0027695568644559828,-0.00022810399343993582,0.00042640694904600953,-0.00034719101187597064,0.000526729536193482
inctype_lin,-0.01661824255155288,0.008347781497841218,-0.9732242192369523,0.20244526547157898,-2.0492980290035723,0.5307081609781557,-0.01661824255155288,0.008347781497841218,-0.008280776883573598,0.00615052432768367,-0.005621513550340824,0.004394248121761659
omajwhite,0.027309525760566274,0.011847793983513284,-0.7173316841827047,0.32170648440265315,-1.5037330517192473,0.8602047352976736,0.027309525760566274,0.011847793983513284,-0.003787548826474139,0.0034842387676211036,-0.0027873693940115266,0.002481369037261314
sbehavior,0.036695526153799646,0.012254675725295653,1.0925665511440816,0.2500121213222008,2.578094847813483,0.6281959179858436,0.036695526153799646,0.012254675725295653,0.009849835378644223,0.006110769913928574,0.008294299443240364,0.004919922660983057
omajblackhisp,0.022635298191260495,0.012167574341644024,-2.2746031596271137,1.622407697263835,-4.739546956915524,3.7259535479097172,0.022635298191260495,0.012167574341644024,-0.0008031399140791269,0.0005046212601483471,-0.0010598913780422267,0.0005700755471078803
